inchikey,smiles_std,pIC50_B2,pIC50_B1,scaffold
ABOAFLYBEQQYKZ-BSOCMFCZSA-N,C[C@@H](O)C(=O)NC1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,7.124332720316243,5.56140566026038,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
ABOAFLYBEQQYKZ-UHFFFAOYSA-N,CC(O)C(=O)NC1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,7.111820506081675,6.24123945609002,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
ABOAFLYBEQQYKZ-YTJLLHSVSA-N,C[C@H](O)C(=O)NC1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,7.045848007792636,5.6233517583201404,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
AEWYTPYUUWZUGV-LJQANCHMSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3cc(Cl)c4c(ccc(=O)n4C)c3)cncc21,7.954677021213342,5.394156460941911,O=c1ccc2cc(-c3cncc4c3CCCC4)ccc2[nH]1
AFSUGETVIMCCPK-UHFFFAOYSA-N,CCS(=O)(=O)NCc1cncc(-c2cc3c(cc2Cl)N(C)C(=O)CC3)c1,7.356547323513812,5.594653639824291,O=C1CCc2cc(-c3cccnc3)ccc2N1
ALBJUSTYZAUYLN-UHFFFAOYSA-N,NCc1cncc(-c2ccc3c(c2)CCC(=O)N3)c1,,,O=C1CCc2cc(-c3cccnc3)ccc2N1
AMBRGAIQMQJQFQ-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ncccn4)c3)ccc21,7.455931955649724,5.951946826884391,O=C1CCc2cc(-c3cncc(CNC(=O)c4ncccn4)c3)ccc2N1
ARAAIDOVECMFNU-UHFFFAOYSA-N,CCC(=O)NC(C)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1Cl,7.207608310501746,5.912928794093465,O=C1CCc2cc(-c3cccnc3)ccc2N1
AVECANXSLRTYTR-UHFFFAOYSA-N,CCN(C(C)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1)S(=O)(=O)CC,7.568636235841012,6.151810883008602,O=C1CCc2cc(-c3cccnc3)ccc2N1
AVVRIJHGPJOLBZ-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)ccc21,,9.0,O=C1CCc2cc(-c3cncc(C4CCNCC4)c3)ccc2N1
AWEQOOUPFFQHIV-UHFFFAOYSA-N,Cc1ocnc1C(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,8.221848749616356,6.82102305270683,O=C1CCc2cc(-c3cncc(CNC(=O)c4cocn4)c3)ccc2N1
AWGKACBQFLOAMX-UHFFFAOYSA-N,Cc1noc(C)c1C(=O)NCc1cncc(-c2cc(Cl)c3c(c2)CCC(=O)N3)c1,7.013228265733755,5.3952341152961125,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnoc4)c3)ccc2N1
BAAIKDACCLDMSP-GOSISDBHSA-N,COC(=O)N[C@@H]1CCCc2c(-c3ccc4c(ccc(=O)n4C)c3)cncc21,,,O=c1ccc2cc(-c3cncc4c3CCCC4)ccc2[nH]1
BAAIKDACCLDMSP-IATFMEIASA-N,[2H]C([2H])([2H])OC(=O)N[C@@H]1CCCc2c(-c3ccc4c(ccc(=O)n4C)c3)cncc21,8.301029995663981,6.671620396561262,O=c1ccc2cc(-c3cncc4c3CCCC4)ccc2[nH]1
BEERUBBOKQJIII-JCQPUDPBSA-N,CCC(=O)N[C@H]1c2cncc(-c3cc4c(cc3F)N(C)C(=O)CC4)c2CC[C@H]1C,6.964014467326189,5.01783299314569,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
BEERUBBOKQJIII-NPMABZOXSA-N,CCC(=O)N[C@@H]1c2cncc(-c3cc4c(cc3F)N(C)C(=O)CC4)c2CC[C@@H]1C,6.344669441990659,4.494847307348064,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
BEERUBBOKQJIII-ZAMGYDSWSA-N,CCC(=O)N[C@H]1c2cncc(-c3cc4c(cc3F)N(C)C(=O)CC4)c2CC[C@@H]1C,7.260427655549908,5.582096718008771,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
BEERUBBOKQJIII-ZLOXQWCVSA-N,CCC(=O)N[C@@H]1c2cncc(-c3cc4c(cc3F)N(C)C(=O)CC4)c2CC[C@H]1C,6.2767085535224165,5.688542831618969,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
BFYPQVDANZNFBS-GOSISDBHSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CNC(=O)N4C)cncc21,7.507239610973162,5.6206763492466845,O=C1NCc2cc(-c3cncc4c3CCCC4)ccc2N1
BIVYCYQLTLIPMP-UHFFFAOYSA-N,CCC1(NCc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)COC1,8.0,6.6252516539898965,O=C1CCc2cc(-c3cncc(CNC4COC4)c3)ccc2N1
BLYCLAUOGIFYKS-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ccc(Cl)nn4)c3)ccc21,8.0,7.026872146400302,O=C1CCc2cc(-c3cncc(CNC(=O)c4cccnn4)c3)ccc2N1
BNTWCRCWZNKXAZ-UHFFFAOYSA-N,Cc1cnc(C(=O)NCc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)cn1,8.301029995663981,6.860120913598763,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnccn4)c3)ccc2N1
BNURNBARXCLCMJ-IBGZPJMESA-N,CCC(=O)N1CCC[C@H]1COc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.698970004336019,5.571379327328061,O=C1CCc2cc(-c3cncc(OC[C@@H]4CCCN4)c3)ccc2N1
BNURNBARXCLCMJ-LJQANCHMSA-N,CCC(=O)N1CCC[C@@H]1COc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,6.924453038607469,5.640923773940737,O=C1CCc2cc(-c3cncc(OC[C@H]4CCCN4)c3)ccc2N1
BQWCKNXVTHZVQN-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(OCCN)c3)ccc21,7.552841968657781,6.795880017344075,O=C1CCc2cc(-c3cccnc3)ccc2N1
BQXVQCOPGVZIOR-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ncc(C(F)(F)F)cn4)c3)ccc21,7.207608310501746,5.535063570878267,O=C1CCc2cc(-c3cncc(CNC(=O)c4ncccn4)c3)ccc2N1
BRAREEJQQDYBHJ-QGZVFWFLSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)nc(C#N)n4C)cncc21,,,c1nc2cc(-c3cncc4c3CCCC4)ccc2[nH]1
BUHCIUOLVZXAMY-UHFFFAOYSA-N,Cc1noc(C)c1C(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,8.096910013008056,6.293282217663242,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnoc4)c3)ccc2N1
BWJZGMRDMHYJHV-MRXNPFEDSA-N,CCS(=O)(=O)N1CC[C@@H](Oc2cncc(-c3cc4c(cc3F)N(C)C(=O)CC4)c2)C1,7.853871964321762,6.563837352959244,O=C1CCc2cc(-c3cncc(O[C@@H]4CCNC4)c3)ccc2N1
