feature,mean_abs_shap,feat_index
Kappa2,0.003629,2078
SMR_VSA10,0.002096,2096
TPSA,0.001652,2115
PEOE_VSA1,0.001629,2081
PEOE_VSA9,0.00162,2094
EState_VSA8,0.001288,2125
VSA_EState4,0.00125,2131
MolWt,0.001139,2052
Chi4v,0.001105,2074
VSA_EState2,0.001091,2129
Chi2v,0.000874,2070
FpDensityMorgan3,0.000785,2057
EState_VSA6,0.000711,2123
bit_30,0.000646,30
SPS,0.000473,2051
VSA_EState5,0.00032,2132
bit_1295,0.000256,1295
bit_186,0.000212,186
bit_1480,0.000151,1480
bit_726,0.0,726
bit_725,0.0,725
bit_724,0.0,724
bit_727,0.0,727
bit_723,0.0,723
bit_728,0.0,728
bit_722,0.0,722
bit_721,0.0,721
bit_720,0.0,720
bit_729,0.0,729
bit_730,0.0,730
bit_731,0.0,731
bit_732,0.0,732
bit_733,0.0,733
bit_734,0.0,734
bit_735,0.0,735
bit_736,0.0,736
bit_737,0.0,737
bit_738,0.0,738
bit_739,0.0,739
bit_740,0.0,740
bit_741,0.0,741
bit_742,0.0,742
bit_719,0.0,719
bit_699,0.0,699
bit_698,0.0,698
bit_697,0.0,697
bit_696,0.0,696
bit_695,0.0,695
bit_694,0.0,694
bit_693,0.0,693
