feature,mean_abs_shap,feat_index_in_selected,feat_index_in_combined
HallKierAlpha,0.110762,0,2075
SlogP_VSA3,0.044684,2,2109
MinEStateIndex,0.040794,6,2050
ECFP4_bit1384,0.033839,82,1384
MaxEStateIndex,0.032648,35,2049
SPS,0.032093,18,2051
VSA_EState8,0.031854,11,2135
ECFP4_bit490,0.031568,39,490
MolLogP,0.030762,25,2160
Chi3n,0.030577,10,2071
ECFP4_bit352,0.028117,73,352
BertzCT,0.027188,15,2062
SMR_VSA5,0.02605,21,2100
EState_VSA2,0.025698,23,2119
PEOE_VSA8,0.025487,26,2093
VSA_EState2,0.025447,1,2129
PEOE_VSA10,0.0244,45,2082
ECFP4_bit1060,0.024258,58,1060
Chi4v,0.024184,17,2074
SlogP_VSA2,0.023872,4,2108
EState_VSA7,0.023561,33,2124
VSA_EState4,0.021038,19,2131
EState_VSA5,0.020169,50,2122
MolMR,0.019487,34,2161
VSA_EState9,0.018586,16,2136
FpDensityMorgan3,0.018542,28,2057
BalabanJ,0.017489,5,2061
SMR_VSA3,0.01742,29,2098
VSA_EState7,0.017346,42,2134
EState_VSA8,0.016786,62,2125
NumAtomStereoCenters,0.01596,67,2147
PEOE_VSA12,0.015338,51,2084
VSA_EState5,0.014715,24,2132
Chi0n,0.014636,13,2064
EState_VSA3,0.014626,44,2120
ECFP4_bit473,0.014497,138,473
ECFP4_bit1114,0.014357,14,1114
VSA_EState6,0.014038,8,2133
Kappa3,0.013917,22,2079
VSA_EState3,0.012682,36,2130
ECFP4_bit294,0.012385,79,294
Chi3v,0.012306,46,2072
AvgIpc,0.012247,20,2060
SlogP_VSA6,0.011913,49,2112
EState_VSA4,0.011412,56,2121
Chi2v,0.011364,47,2070
ECFP4_bit29,0.011207,71,29
SlogP_VSA5,0.010938,53,2111
Chi2n,0.010805,40,2069
PEOE_VSA9,0.010614,43,2094
