model,R2,RMSE,MAE,Pearson_r
RF_b2_stratified_scaffold,-0.1699,0.7487,0.591,-0.1914
XGB_b2_stratified_scaffold,-0.0028,0.6932,0.5413,0.0211
SVR_b2_stratified_scaffold,-0.0061,0.6944,0.5377,0.0234
RF_b2_scaffold,-0.2578,0.7574,0.5584,0.0277
XGB_b2_scaffold,-0.1807,0.7338,0.5671,0.1367
SVR_b2_scaffold,-0.0909,0.7053,0.5325,-0.0585
RF_b2_random,-0.2646,0.8136,0.6154,-0.147
XGB_b2_random,-0.1263,0.7679,0.5908,-0.1179
SVR_b2_random,-0.1664,0.7814,0.5977,-0.148
RF_b1_stratified_scaffold,-0.1012,0.8523,0.6465,-0.0873
XGB_b1_stratified_scaffold,-0.0554,0.8344,0.6346,-0.2193
SVR_b1_stratified_scaffold,0.0227,0.8029,0.6179,0.1534
RF_b1_scaffold,-0.2114,0.7612,0.5889,-0.0272
XGB_b1_scaffold,-0.0659,0.714,0.5678,0.0076
SVR_b1_scaffold,-0.0514,0.7091,0.5588,-0.1847
RF_b1_random,-0.1197,0.8381,0.6329,-0.0508
XGB_b1_random,-0.0336,0.8052,0.6113,-0.0594
SVR_b1_random,-0.044,0.8093,0.6145,-0.0582
