feature,importance_mean,importance_std,feat_index
bit_523,0.000445,8.4e-05,523
bit_1652,0.000269,6.8e-05,1652
bit_1820,0.000269,6.8e-05,1820
bit_1082,0.000213,6e-05,1082
bit_97,0.000158,0.000201,97
bit_1017,0.00015,0.000352,1017
bit_806,0.000145,4.8e-05,806
bit_328,0.00014,1.5e-05,328
bit_339,0.000132,0.000154,339
bit_1559,0.000132,0.000154,1559
bit_1127,0.000132,0.000154,1127
bit_147,0.000129,0.000164,147
bit_32,0.000126,5e-05,32
bit_803,0.000107,0.000113,803
bit_299,0.000105,5.1e-05,299
bit_1274,0.000102,0.000276,1274
bit_318,0.000102,0.000276,318
bit_216,0.000102,0.000186,216
bit_1260,0.000102,0.0003,1260
bit_1991,9.8e-05,9e-05,1991
bit_2011,9.5e-05,3.4e-05,2011
bit_1901,8.8e-05,0.000229,1901
bit_1733,8.8e-05,0.000288,1733
bit_74,8.6e-05,9e-06,74
bit_1317,8.6e-05,7.6e-05,1317
bit_75,8.2e-05,0.000181,75
bit_184,8.1e-05,0.000205,184
bit_168,8.1e-05,2.2e-05,168
bit_609,8.1e-05,2.8e-05,609
bit_1659,7.9e-05,0.00013,1659
PEOE_VSA5,7.9e-05,9.3e-05,2090
bit_169,7.8e-05,2.1e-05,169
bit_361,7.7e-05,3.6e-05,361
bit_1731,7.6e-05,0.000212,1731
bit_1164,7.5e-05,7.6e-05,1164
bit_29,7.1e-05,9e-06,29
bit_1626,7e-05,8e-06,1626
bit_382,6.8e-05,0.000245,382
bit_774,6.8e-05,0.000245,774
bit_233,6.6e-05,4e-05,233
bit_1354,6.6e-05,4e-05,1354
bit_1085,6.6e-05,4e-05,1085
bit_1020,6.6e-05,3.4e-05,1020
bit_1789,6.5e-05,0.000101,1789
bit_1404,6.3e-05,0.000249,1404
bit_1826,6e-05,9.4e-05,1826
bit_1341,5.9e-05,0.000188,1341
Ipc,5.8e-05,0.000121,2076
bit_1282,5.6e-05,0.000202,1282
bit_1912,5.6e-05,3.6e-05,1912
