feature,importance_mean,importance_std,feat_index_in_selected,feat_index_in_combined
ECFP4_bit1163,0.025224,0.003834,240,1163
ECFP4_bit1034,0.024987,0.002846,66,1034
ECFP4_bit898,0.021028,0.003365,86,898
ECFP4_bit2,0.017611,0.003138,147,2
ECFP4_bit252,0.015053,0.002037,256,252
PEOE_VSA12,0.014506,0.002689,51,2084
ECFP4_bit76,0.014046,0.002108,223,76
ECFP4_bit317,0.013431,0.001648,227,317
ECFP4_bit1028,0.0132,0.002576,133,1028
fr_piperdine,0.012752,0.002282,88,2185
NumAtomStereoCenters,0.01155,0.002034,67,2147
SMR_VSA4,0.011261,0.001875,124,2099
ECFP4_bit305,0.01122,0.002232,91,305
ECFP4_bit1452,0.009667,0.00257,90,1452
ECFP4_bit1706,0.009645,0.001783,152,1706
ECFP4_bit193,0.00943,0.002142,185,193
ECFP4_bit652,0.008967,0.002318,113,652
PEOE_VSA4,0.008498,0.002824,143,2089
ECFP4_bit993,0.007849,0.001231,188,993
ECFP4_bit1141,0.007818,0.001372,121,1141
ECFP4_bit39,0.007808,0.001839,55,39
ECFP4_bit9,0.007626,0.001186,276,9
ECFP4_bit1,0.00736,0.001814,148,1
PEOE_VSA14,0.007184,0.001562,120,2086
ECFP4_bit1627,0.006998,0.001676,213,1627
EState_VSA7,0.006955,0.002008,33,2124
ECFP4_bit502,0.006846,0.001071,125,502
ECFP4_bit1114,0.006739,0.002245,14,1114
ECFP4_bit1317,0.006722,0.001395,234,1317
ECFP4_bit473,0.006536,0.00131,138,473
ECFP4_bit556,0.006315,0.002115,288,556
ECFP4_bit749,0.006283,0.002766,208,749
ECFP4_bit117,0.006225,0.0019,228,117
ECFP4_bit490,0.00615,0.001348,39,490
PEOE_VSA3,0.006044,0.001689,60,2088
EState_VSA4,0.005983,0.00201,56,2121
ECFP4_bit2009,0.005843,0.001839,238,2009
PEOE_VSA6,0.00578,0.001876,68,2091
ECFP4_bit1147,0.005711,0.001111,203,1147
ECFP4_bit750,0.005686,0.001767,232,750
EState_VSA5,0.005537,0.001949,50,2122
ECFP4_bit1080,0.005527,0.001177,106,1080
ECFP4_bit448,0.0055,0.002246,160,448
ECFP4_bit542,0.005425,0.0013,280,542
ECFP4_bit1416,0.005409,0.00106,242,1416
ECFP4_bit718,0.005034,0.00221,226,718
ECFP4_bit1020,0.005009,0.001395,270,1020
ECFP4_bit1866,0.004924,0.001729,130,1866
fr_methoxy,0.004859,0.001837,164,2182
EState_VSA11,0.004829,0.000744,269,2118
